listing_id,cutoff_date,dataset_version,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,has_reviews_before_cutoff
1140706943586753094,2025-12-10,v1_student,Entire home/apt,Entire home,Westerpark,3,2.0,,1.0,,1,7,True,False,1,8,8,179.625,476.0,509,0,0.0,1.2857142857142858,7.0,0,0.0,1.2666666666666666,7.0,30,0,0.0,1,1
1141038563852120546,2025-12-10,v1_student,Entire home/apt,Entire rental unit,IJburg - Zeeburgereiland,4,2.0,,1.5,,2,365,True,False,4,17,17,158.58823529411765,479.0,318,0,0.0,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,1
1141092289620866715,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-West,4,3.0,,1.5,,3,30,False,False,1,9,9,245.11111111111111,445.0,116,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,1
1141106497112258826,2025-12-10,v1_student,Entire home/apt,Entire home,Zuid,5,3.0,,1.5,,7,20,False,False,1,4,4,361.75,427.0,438,0,0.0,7.0,20.0,0,0.0,7.0,20.0,30,0,0.0,1,1
1141213165276241199,2025-12-10,v1_student,Entire home/apt,Entire home,Watergraafsmeer,4,2.0,,1.0,,4,20,False,False,1,2,2,147.0,229.0,133,0,0.0,4.0,20.0,0,0.0,4.0,20.0,30,0,0.0,1,1
1141218789120396947,2025-12-10,v1_student,Entire home/apt,Entire home,IJburg - Zeeburgereiland,4,2.0,,1.0,,3,60,False,True,18,4,4,285.25,919.0,105,0,0.0,6.846153846153846,1125.0,0,0.0,7.0,1125.0,30,0,0.0,1,1
1141296749737106774,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Zuid,4,2.0,2.0,1.5,357.0,2,365,True,False,1,78,78,218.48717948717947,1012.0,100,35,0.38461538461538464,2.4835164835164836,365.0,19,0.6333333333333333,2.8666666666666667,365.0,30,14,0.4666666666666667,0,1
1141418404966080866,2025-12-10,v1_student,Entire home/apt,Entire home,Oud-Noord,4,3.0,,2.0,,3,14,False,False,1,1,1,458.0,458.0,486,0,0.0,3.0,14.0,0,0.0,3.0,14.0,30,0,0.0,1,1
1141738241897281892,2025-12-10,v1_student,Entire home/apt,Entire condo,De Baarsjes - Oud-West,2,1.0,2.0,1.0,192.0,1,30,False,True,1,13,13,328.6923076923077,928.0,119,48,0.5274725274725275,1.0,30.0,23,0.7666666666666667,1.0,30.0,30,22,0.7333333333333333,0,1
1141801858164740994,2025-12-10,v1_student,Entire home/apt,Entire home,Westerpark,2,1.0,1.0,1.0,214.0,3,30,False,False,1,1,1,295.0,295.0,474,4,0.04395604395604396,3.0,30.0,0,0.0,3.0,30.0,30,10,0.3333333333333333,0,1
